Trend,School_Name,City,Current_rank,Overall_last,dummy_1,dummy_2,dummy_3
St,Michaels,Choir,Toronto,9.4,n/a,,
Abbey,Park,Oakville,9.2,n/a,,,
St,Robert,Thornhill,9.2,n/a,,,
Colonel,By,Gloucester,9.1,n/a,,,
St,Therese,of,Lisieux,Richmond,Hill,9.1,n/a
Ursula,Franklin,Toronto,9.1,n/a,,,
Ange-Gabriel,Brockville,9.1,n/a,,,,
Confdration,Welland,9.1,n/a,,,,
Bayview,Richmond,Hill,9,n/a,,,
St,Josephs,Renfrew,9,n/a,,,
London,Central,London,8.9,n/a,,,
Markville,Markham,8.9,n/a,,,,
Oakville,Trafalgar,Oakville,8.9,n/a,,,
St,Michael,Kemptville,8.9,n/a,,,
Marie-Rivier,Kingston,8.9,n/a,,,,
Wali,ul,Asr,Caledon,8.9,n/a,,
Unionville,Unionville,8.8,n/a,,,,
St,Augustine,Markham,8.8,n/a,,,
Pierre,Elliott,Trudeau,Markham,8.7,n/a,,
Richmond,Hill,Richmond,Hill,8.7,n/a,,
Cardinal,Carter-Arts,Toronto,8.7,n/a,,,
West,Carleton,Dunrobin,8.7,n/a,,,
Bloor,Toronto,8.7,n/a,,,,
John,Fraser,Mississauga,8.7,n/a,,,
Iroquois,Ridge,Oakville,8.6,n/a,,,
William,Lyon,Mackenzie,Toronto,8.6,n/a,,
Le,Sommet,Hawkesbury,8.6,n/a,,,
John,McCrae,Nepean,8.6,n/a,,,
St,Marcellinus,Mississauga,8.6,n/a,,,
Etobicoke-Arts,Toronto,8.6,n/a,,,,
ISNA,Mississauga,8.6,n/a,,,,
Holy,Trinity,Kanata,8.6,n/a,,,
De,La,Salle,Ottawa,8.5,n/a,,
Lawrence,Park,Toronto,8.5,n/a,,,
North,Toronto,Toronto,8.5,n/a,,,
Elmira,Elmira,8.5,n/a,,,,
Garth,Webb,Oakville,8.5,n/a,,,
The,Woodlands,Mississauga,8.5,n/a,,,
Bur,Oak,Markham,8.4,n/a,,,
Leaside,Toronto,8.4,n/a,,,,
de-Lamothe-Cadillac,Windsor,8.4,n/a,,,,
Nepean,Ottawa,8.4,n/a,,,,
St,Joseph,Nepean,8.3,n/a,,,
White,Oaks,Oakville,8.3,n/a,,,
Newmarket,Newmarket,8.3,n/a,,,,
Marymount,Sudbury,8.3,n/a,,,,
Earl,Haig,Toronto,8.2,n/a,,,
Earl,of,March,Kanata,8.2,n/a,,
St,Aloysius,Gonzaga,Mississauga,8.2,n/a,,
Nelson,Burlington,8.2,n/a,,,,
E,L,Crossley,Fonthill,8.2,n/a,,
Jeanne-Lajoie,Pembroke,8.2,n/a,,,,
A,Y,Jackson,Toronto,8.2,n/a,,
Middlefield,Markham,8.1,n/a,,,,
Humberside,Toronto,8.1,n/a,,,,
Bill,Crothers,Unionville,8.1,n/a,,,
Marc-Garneau,Trenton,8.1,n/a,,,,
Erin,Erin,8.1,n/a,,,,
Aurora,Aurora,8,n/a,,,,
Westmount,Thornhill,8,n/a,,,,
Agincourt,Toronto,8,n/a,,,,
Malvern,Toronto,8,n/a,,,,
St,Anne,Tecumseh,8,n/a,,,
Thomas,A,Blakelock,Oakville,8,n/a,,
Rosedale,Heights-Arts,Toronto,8,n/a,,,
Father,Michael,McGivney,Markham,8,n/a,,
Lisgar,Ottawa,8,n/a,,,,
Centennial,Guelph,7.9,n/a,,,,
Forest,Hill,Toronto,7.9,n/a,,,
Vincent,Massey,Windsor,7.9,n/a,,,
All,Saints,Kanata,7.9,n/a,,,
Thornhill,Thornhill,7.9,n/a,,,,
Father,John,Redmond,Toronto,7.9,n/a,,
St.,Thomas,Aquinas,Russell,7.9,n/a,,
Our,Lady,of,Mount,Carmel,Mississauga,7.9,n/a
John,F,Ross,Guelph,7.9,n/a,,
Lester,B,Pearson,Burlington,7.9,n/a,,
Waterloo,Waterloo,7.9,n/a,,,,
St,Thomas,of,Villanova,LaSalle,7.9,n/a,
South,Carleton,Richmond,7.9,n/a,,,
Charlottenburgh,and,Lancaster,Williamstown,7.9,n/a,,
Mother,Teresa,London,7.9,n/a,,,
Maurice-Lapointe,Kanata,7.9,n/a,,,,
St,Benedict,Sudbury,7.8,n/a,,,
Stratford,Central,Stratford,7.8,n/a,,,
Langstaff,Richmond,Hill,7.8,n/a,,,
Stephen,Lewis,Thornhill,7.8,n/a,,,
A.Y.,Jackson,Kanata,7.8,n/a,,,
Gisle-Lalonde,Orlans,7.8,n/a,,,,
Holy,Names,Windsor,7.8,n/a,,,
Northern,Sarnia,7.8,n/a,,,,
Our,Lady,of,Lourdes,Guelph,7.8,n/a,
St,Matthew,Orlans,7.8,n/a,,,
Cawthra,Park,Mississauga,7.8,n/a,,,
Lorne,Park,Mississauga,7.8,n/a,,,
Sainte-Trinit,Oakville,7.8,n/a,,,,
Richmond,Green,Richmond,Hill,7.7,n/a,,
Richview,Toronto,7.7,n/a,,,,
Sacred,Heart,Stittsville,7.7,n/a,,,
Dr,Norman,Bethune,Toronto,7.7,n/a,,
Longfields,Davidson,Heights,Nepean,7.7,n/a,,
General,Amherst,Amherstburg,7.7,n/a,,,
Etobicoke,Toronto,7.7,n/a,,,,
Notre,Dame,Toronto,7.7,n/a,,,
W,A,Porter,Toronto,7.7,n/a,,
F,J,Brennan,Windsor,7.7,n/a,,
R,H,King,Toronto,7.7,n/a,,
Sir,John,A,Macdonald,Toronto,7.7,n/a,
Tecumseh,Vista,Tecumseh,7.7,n/a,,,
Centennial,Welland,7.7,n/a,,,,
Collge,Franais,Toronto,7.7,n/a,,,
Canterbury,Ottawa,7.7,n/a,,,,
Gordon,Graydon,Mississauga,7.7,n/a,,,
Paul-Desmarais,Ottawa,7.7,n/a,,,,
Bishop,Paul,Francis,Reding,Milton,7.6,n/a,
Bishop,Macdonell,Guelph,7.6,n/a,,,
St,Francis,Xavier,Mississauga,7.6,n/a,,
St,Mark,Manotick,7.6,n/a,,,
Eden,St,Catharines,7.6,n/a,,,
Northern,Toronto,7.6,n/a,,,,
Resurrection,Kitchener,7.6,n/a,,,,
Batrice-Desloges,Orlans,7.6,n/a,,,,
Milton,Milton,7.6,n/a,,,,
St,Francis,Xavier,Gloucester,7.6,n/a,,
A,N,Myer,Niagara,Falls,7.6,n/a,
Merivale,Nepean,7.6,n/a,,,,
Saugeen,Port,Elgin,7.6,n/a,,,
Dr.,Frank,J.,Hayden,Burlington,7.6,n/a,
Uxbridge,Uxbridge,7.6,n/a,,,,
Holy,Name,of,Mary,Brampton,7.5,n/a,
Renaissance,Aurora,7.5,n/a,,,,
St,Ignatius,of,Loyola,Oakville,7.5,n/a,
Thornlea,Thornhill,7.5,n/a,,,,
Milliken,Mills,Unionville,7.5,n/a,,,
Westmount,Hamilton,7.5,n/a,,,,
Banting,Memorial,Alliston,7.5,n/a,,,
Eastview,Barrie,7.5,n/a,,,,
St,Paul,Mississauga,7.5,n/a,,,
Glenforest,Mississauga,7.5,n/a,,,,
Port,Credit,Mississauga,7.5,n/a,,,
Sir,John,A,Macdonald,Waterloo,7.4,n/a,
Guelph,Guelph,7.4,n/a,,,,
St,Josephs,Toronto,7.4,n/a,,,
Bluevale,Waterloo,7.4,n/a,,,,
Grimsby,Grimsby,7.4,n/a,,,,
Cardinal,Ambrozic,Brampton,7.4,n/a,,,
Cardinal,Carter,Leamington,7.4,n/a,,,
Hearst,Hearst,7.4,n/a,,,,
LEscale,Rockland,7.4,n/a,,,,
St,Francis,Xavier,Hammond,7.4,n/a,,
Georgian,Bay,Meaford,7.4,n/a,,,
Brooklin,Whitby,7.4,n/a,,,,
I,E,Weldon,Lindsay,7.4,n/a,,
Lockerby,Sudbury,7.4,n/a,,,,
Streetsville,Mississauga,7.4,n/a,,,,
Corpus,Christi,Burlington,7.3,n/a,,,
Christ,the,King,Georgetown,7.3,n/a,,
Kingston,Kingston,7.3,n/a,,,,
St,Peter,Orlans,7.3,n/a,,,
Philip,Pocock,Mississauga,7.3,n/a,,,
Sacred,Heart,Newmarket,7.3,n/a,,,
Aldershot,Burlington,7.3,n/a,,,,
Bishop,Tonnos,Ancaster,7.3,n/a,,,
Clarke,Newcastle,7.3,n/a,,,,
Bishop,Smith,Pembroke,7.3,n/a,,,
Central,Elgin,St,Thomas,7.3,n/a,,
Bracebridge,and,Muskoka,Lakes,Bracebridge,7.3,n/a,
Chinguacousy,Brampton,7.3,n/a,,,,
Donald,A.,Wilson,Whitby,7.3,n/a,,
Gravenhurst,Gravenhurst,7.3,n/a,,,,
Jean,Vanier,Milton,7.3,n/a,,,
Osgoode,Township,Metcalfe,7.3,n/a,,,
Romo,Dallaire,Barrie,7.3,n/a,,,
Saint-Frre-Andr,Toronto,7.3,n/a,,,,
Jeunes,sans,frontires,Brampton,7.2,n/a,,
Garneau,Gloucester,7.2,n/a,,,,
Mother,Teresa,Nepean,7.2,n/a,,,
Regiopolis/Notre-Dame,Kingston,7.2,n/a,,,,
Oakridge,London,7.2,n/a,,,,
Saint,Michael,Niagara,Falls,7.2,n/a,,
Harbord,Toronto,7.2,n/a,,,,
Georgetown,Georgetown,7.2,n/a,,,,
Dr,G,W,Williams,Aurora,7.2,n/a,
Craig,Kielburger,Milton,7.2,n/a,,,
Don,Mills,Toronto,7.2,n/a,,,
St,Marys,Hamilton,7.2,n/a,,,
Louis-Riel,Gloucester,7.2,n/a,,,,
St.,Roch,Brampton,7.2,n/a,,,
Embrun,Embrun,7.2,n/a,,,,
South,Lincoln,Smithville,7.2,n/a,,,
Rideau,Elgin,7.2,n/a,,,,
Laura,Secord,St,Catharines,7.2,n/a,,
West,Ferris,North,Bay,7.2,n/a,,
Sir,Robert,Borden,Nepean,7.2,n/a,,
Tommy,Douglas,Woodbridge,7.2,n/a,,,
Bishop,Allen,Toronto,7.1,n/a,,,
Loretto,Abbey,Toronto,7.1,n/a,,,
Holy,Trinity,Simcoe,7.1,n/a,,,
St,Marys,Brockville,7.1,n/a,,,
Vaughan,Thornhill,7.1,n/a,,,,
Glebe,Ottawa,7.1,n/a,,,,
Victoria,Park,Toronto,7.1,n/a,,,
A,B,Lucas,London,7.1,n/a,,
Cardinal,Carter,Aurora,7.1,n/a,,,
St,Thomas,Aquinas,London,7.1,n/a,,
Ancaster,Ancaster,7.1,n/a,,,,
Lord,Dorchester,Dorchester,7.1,n/a,,,
Cardinal,Newman,Stoney,Creek,7.1,n/a,,
Kingsville,Kingsville,7.1,n/a,,,,
St,Stephens,Bowmanville,7.1,n/a,,,
Frontenac,Kingston,7.1,n/a,,,,
Preston,Cambridge,7.1,n/a,,,,
Cit,des,Jeunes,Kapuskasing,7.1,n/a,,
Chippewa,North,Bay,7.1,n/a,,,
Rick,Hansen,Mississauga,7.1,n/a,,,
Stephen,Lewis,Mississauga,7.1,n/a,,,
Assumption,Burlington,7,n/a,,,,
Markham,Markham,7,n/a,,,,
Neil,McNeil,Toronto,7,n/a,,,
St,Joseph,Mississauga,7,n/a,,,
Iona,Mississauga,7,n/a,,,,
St.,Brother,Andr,Markham,7,n/a,,
Jean,Vanier,Richmond,Hill,7,n/a,,
Michael,Power/St,Joseph,Toronto,7,n/a,,
Courtice,Courtice,7,n/a,,,,
Delphi,Alternative,Toronto,7,n/a,,,
Riverdale,Toronto,7,n/a,,,,
Sandwich,LaSalle,7,n/a,,,,
Stouffville,Stouffville,7,n/a,,,,
Pre-Ren-de-Galine,Cambridge,7,n/a,,,,
St,David,Waterloo,7,n/a,,,
Robert,F,Hall,Caledon,East,7,n/a,
Arnprior,Arnprior,7,n/a,,,,
St,John,Perth,7,n/a,,,
Cameron,Heights,Kitchener,7,n/a,,,
MacKenzie,Deep,River,7,n/a,,,
Westlane,Niagara,Falls,7,n/a,,,
Monseigneur-Bruyre,London,7,n/a,,,,
Saint-Charles-Garnier,Whitby,7,n/a,,,,
Gatan,Gervais,Oakville,7,n/a,,,
Henry,Street,Whitby,7,n/a,,,
Maxwell,Heights,Oshawa,7,n/a,,,
North,Park,Brampton,7,n/a,,,
R.,S.,McLaughlin,Oshawa,7,n/a,,
St.,Andre,Bessette,London,7,n/a,,
St,Thomas,Aquinas,Oakville,6.9,n/a,,
Blessed,Trinity,Grimsby,6.9,n/a,,,
Sainte-Famille,Mississauga,6.9,n/a,,,,
Mary,Ward,Toronto,6.9,n/a,,,
Sir,William,Mulock,Newmarket,6.9,n/a,,
St,Edmund,Campion,Brampton,6.9,n/a,,
Assumption,Windsor,6.9,n/a,,,,
Bradford,Bradford,6.9,n/a,,,,
Centre,Wellington,Fergus,6.9,n/a,,,
Orchard,Park,Stoney,Creek,6.9,n/a,,
Father,Leo,J,Austin,Whitby,6.9,n/a,
Lambton,Central,Petrolia,6.9,n/a,,,
Sir,Wilfrid,Laurier,Orlans,6.9,n/a,,
St,Elizabeth,Thornhill,6.8,n/a,,,
Alexander,MacKenzie,Richmond,Hill,6.8,n/a,,
St,Martin,Mississauga,6.8,n/a,,,
John,Cabot,Mississauga,6.8,n/a,,,
Emily,Carr,Woodbridge,6.8,n/a,,,
St,Peters,Peterborough,6.8,n/a,,,
Cairine,Wilson,Ottawa,6.8,n/a,,,
Nicholson,Belleville,6.8,n/a,,,,
South,Huron,Exeter,6.8,n/a,,,
St,Josephs,Windsor,6.8,n/a,,,
Notre,Dame,Brampton,6.8,n/a,,,
St,Patrick,Toronto,6.8,n/a,,,
St,Patricks,Sarnia,6.8,n/a,,,
Father,Bressani,Woodbridge,6.8,n/a,,,
Plantagenet,Plantagenet,6.8,n/a,,,,
Applewood,Heights,Mississauga,6.8,n/a,,,
Port,Perry,Port,Perry,6.8,n/a,,
St.,Joan,of,Arc,Mississauga,6.7,n/a,
Waterdown,Waterdown,6.7,n/a,,,,
St,Ignatius,Thunder,Bay,6.7,n/a,,
Orangeville,Orangeville,6.7,n/a,,,,
St,Francis,St,Catharines,6.7,n/a,,
Huron,Heights,Kitchener,6.7,n/a,,,
Denis,Morris,St,Catharines,6.7,n/a,,
Immaculata,Ottawa,6.7,n/a,,,,
John,Diefenbaker,Hanover,6.7,n/a,,,
Stephen,Leacock,Toronto,6.7,n/a,,,
Harold,M.,Brathwaite,Brampton,6.7,n/a,,
J,Clarke,Richardson,Ajax,6.7,n/a,,
Mayfield,Caledon,6.7,n/a,,,,
Norval-Morrisseau,Richmond,Hill,6.7,n/a,,,
Pickering,Ajax,6.7,n/a,,,,
Turner,Fenton,Brampton,6.7,n/a,,,
Belle,River,Belle,River,6.6,n/a,,
North,Grenville,Kemptville,6.6,n/a,,,
St.,Michael,Bolton,6.6,n/a,,,
Martingrove,Toronto,6.6,n/a,,,,
Sir,Winston,Churchill,St,Catharines,6.6,n/a,
Westdale,Hamilton,6.6,n/a,,,,
Maple,Maple,6.6,n/a,,,,
Brockville,Brockville,6.6,n/a,,,,
St,Paul,Trenton,6.6,n/a,,,
Waterloo-Oxford,Baden,6.6,n/a,,,,
Highland,Dundas,6.6,n/a,,,,
Sir,Frederick,Banting,London,6.6,n/a,,
St,Annes,Clinton,6.6,n/a,,,
Notre,Dame,Carleton,Place,6.6,n/a,,
Francis,Libermann,Toronto,6.6,n/a,,,
St,Paul,Ottawa,6.6,n/a,,,
Bayridge,Kingston,6.6,n/a,,,,
Collingwood,Collingwood,6.6,n/a,,,,
Governor,Simcoe,St,Catharines,6.6,n/a,,
St,Marguerite,dYouville,Brampton,6.6,n/a,,
Glengarry,Alexandria,6.6,n/a,,,,
Leamington,Leamington,6.6,n/a,,,,
St,Joseph-Scollard,Hall,North,Bay,6.6,n/a,
Red,Lake,Red,Lake,6.6,n/a,,
Anderson,Whitby,6.6,n/a,,,,
Lo-Ellen,Park,Sudbury,6.6,n/a,,,
Meadowvale,Mississauga,6.6,n/a,,,,
Pickering,Pickering,6.6,n/a,,,,
Sinclair,Whitby,6.6,n/a,,,,
Notre,Dame,Burlington,6.5,n/a,,,
LHritage,Cornwall,6.5,n/a,,,,
Loyola,Mississauga,6.5,n/a,,,,
Bayside,Belleville,6.5,n/a,,,,
St,Maximilian,Kolbe,Aurora,6.5,n/a,,
Holy,Cross,St,Catharines,6.5,n/a,,
La,Salle,Kingston,6.5,n/a,,,
Northview,Heights,Toronto,6.5,n/a,,,
Owen,Sound,Owen,Sound,6.5,n/a,,
St,Marys,Woodstock,6.5,n/a,,,
Chaminade,Toronto,6.5,n/a,,,,
St,Michael,Stratford,6.5,n/a,,,
Marc,Garneau,Toronto,6.5,n/a,,,
Kitchener,Waterloo,Kitchener,6.5,n/a,,,
Pope,John,Paul,II,Toronto,6.5,n/a,
Southwood,Cambridge,6.5,n/a,,,,
Carleton,Place,Carleton,Place,6.5,n/a,,
Medway,Arva,6.4,n/a,,,,
All,Saints,Whitby,6.4,n/a,,,
Franco-Cit,Ottawa,6.4,n/a,,,,
Listowel,Listowel,6.4,n/a,,,,
Saint,Paul,Niagara,Falls,6.4,n/a,,
Acton,Acton,6.4,n/a,,,,
Patrick,Fogarty,Orillia,6.4,n/a,,,
Sir,Winston,Churchill,Thunder,Bay,6.4,n/a,
Bear,Creek,Barrie,6.4,n/a,,,
Holy,Cross,Peterborough,6.4,n/a,,,
Nantyr,Shores,Innisfil,6.4,n/a,,,
North,Dundas,Chesterville,6.4,n/a,,,
Brampton,Centennial,Brampton,6.4,n/a,,,
Castlebrooke,Brampton,6.4,n/a,,,,
Clarkson,Mississauga,6.4,n/a,,,,
Dunbarton,Pickering,6.4,n/a,,,,
Louise,Arbour,Brampton,6.4,n/a,,,
Holy,Trinity,Oakville,6.3,n/a,,,
Franco-Ouest,Nepean,6.3,n/a,,,,
St,Pius,X,Ottawa,6.3,n/a,,
Chesley,Chesley,6.3,n/a,,,,
St,Johns,Brantford,6.3,n/a,,,
Woodbridge,Woodbridge,6.3,n/a,,,,
Assumption,Brantford,6.3,n/a,,,,
St,Thomas,Aquinas,Kenora,6.3,n/a,,
Albert,Campbell,Toronto,6.3,n/a,,,
Bell,Nepean,6.3,n/a,,,,
Holy,Cross,Kingston,6.3,n/a,,,
Holy,Trinity,Courtice,6.3,n/a,,,
Crestwood,Peterborough,6.3,n/a,,,,
Bowmanville,Bowmanville,6.3,n/a,,,,
Peninsula,Shores,Wiarton,6.3,n/a,,,
Notre,Dame,Ajax,6.3,n/a,,,
Sacred,Heart,Walkerton,6.3,n/a,,,
St,Mary,Pickering,6.3,n/a,,,
